Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI
16-June-2025,auth,612,583,0,24,5,0,,,13-June-2025,auth,612,244,164,199,5,0,,,12-June-2025,auth,325,117,72,133,3,0,,,11-June-2025,auth,612,583,0,24,5,0,,,10-June-2025,auth,612,583,0,24,5,0
16-June-2025,idrepo,414,332,0,4,78,0,,,13-June-2025,idrepo,151,96,0,4,51,0,,,12-June-2025,idrepo,151,96,0,4,51,0,,,11-June-2025,idrepo,414,332,0,4,78,0,,,10-June-2025,idrepo,410,325,0,1,84,0
16-June-2025,masterdata-kan,945,930,0,0,15,0,,,13-June-2025,masterdata-kan,945,930,0,0,15,0,,,12-June-2025,masterdata-kan,248,241,0,0,7,0,,,11-June-2025,masterdata-kan,945,930,0,0,15,0,,,10-June-2025,masterdata-kan,945,930,0,0,15,0
16-June-2025,masterdata-hin,945,930,0,0,15,0,,,13-June-2025,masterdata-hin,945,930,0,0,15,0,,,12-June-2025,masterdata-hin,248,241,0,0,7,0,,,11-June-2025,masterdata-hin,945,930,0,0,15,0,,,10-June-2025,masterdata-hin,945,930,0,0,15,0
16-June-2025,masterdata-tam,945,930,0,0,15,0,,,13-June-2025,masterdata-tam,945,930,0,0,15,0,,,12-June-2025,masterdata-tam,248,241,0,0,7,0,,,11-June-2025,masterdata-tam,945,930,0,0,15,0,,,10-June-2025,masterdata-tam,945,930,0,0,15,0
16-June-2025,masterdata-fra,945,930,0,0,15,0,,,13-June-2025,masterdata-fra,945,930,0,0,15,0,,,12-June-2025,masterdata-fra,248,241,0,0,7,0,,,11-June-2025,masterdata-fra,945,930,0,0,15,0,,,10-June-2025,masterdata-fra,945,930,0,0,15,0
16-June-2025,masterdata-ara,945,930,0,0,15,0,,,13-June-2025,masterdata-ara,945,930,0,0,15,0,,,12-June-2025,masterdata-ara,248,241,0,0,7,0,,,11-June-2025,masterdata-ara,945,930,0,0,15,0,,,10-June-2025,masterdata-ara,945,929,0,1,15,0
16-June-2025,masterdata-eng,945,945,0,0,0,0,,,13-June-2025,masterdata-eng,945,945,0,0,0,0,,,12-June-2025,masterdata-eng,248,248,0,0,0,0,,,11-June-2025,masterdata-eng,945,945,0,0,0,0,,,10-June-2025,masterdata-eng,945,945,0,0,0,0
16-June-2025,pms,509,496,0,1,0,12,,,13-June-2025,pms,509,496,0,1,0,12,,,12-June-2025,pms,94,69,13,12,0,0,,,11-June-2025,partner,935,911,0,12,0,12,,,10-June-2025,partner,935,911,0,12,0,12
16-June-2025,prereg,288,280,0,6,2,0,,,13-June-2025,prereg,104,103,0,1,0,0,,,12-June-2025,prereg,104,103,0,1,0,0,,,11-June-2025,pms,509,496,0,1,0,12,,,10-June-2025,pms,996,913,60,23,0,0
16-June-2025,resident,1124,1108,0,16,0,0,,,13-June-2025,resident,352,72,94,186,0,0,,,12-June-2025,resident,352,72,94,186,0,0,,,11-June-2025,prereg,288,280,0,6,2,0,,,10-June-2025,prereg,288,279,0,7,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-June-2025,resident,1126,1115,0,11,0,0,,,10-June-2025,resident,1126,1115,0,11,0,0
